조사번호	조사지역	주구분	조사일자	시간대	X좌표	Y좌표	행정구역명	날씨	남자10대	남자20대	남자30대	남자40대	남자50대	여자10대	여자20대	여자30대	여자40대	여자50대
3574	B 지점 : 뚜레쥬르앞	주중	2010-06-15	12시~13시까지	286551	537362	인천광역시 남동구 남촌도림동	맑음	0	12	14	7	13	0	9	26	14	46
3574	B 지점 : 뚜레쥬르앞	주중	2010-06-15	19시~20시까지	286551	537362	인천광역시 남동구 남촌도림동	맑음	24	8	25	24	15	10	5	42	27	24
3574	B 지점 : 뚜레쥬르앞	주말	2010-07-03	12시~13시까지	286551	537362	인천광역시 남동구 남촌도림동	흐림	15	22	8	28	24	14	14	30	32	41
3574	B 지점 : 뚜레쥬르앞	주말	2010-07-03	19시~20시까지	286551	537362	인천광역시 남동구 남촌도림동	흐림	48	15	25	48	30	21	9	42	54	48
3604	A지점 : 부평 문화의 거리 입구(방성우 신경정신과의원	주중	2010-06-08	12시~13시까지	287288	544299	인천광역시 부평구 부평1동	흐림	72	57	36	63	66	99	96	114	147	82
3604	A지점 : 부평 문화의 거리 입구(방성우 신경정신과의원	주중	2010-06-08	19시~20시까지	287288	544299	인천광역시 부평구 부평1동	흐림	135	115	84	125	85	149	167	96	197	116
3604	A지점 : 부평 문화의 거리 입구(방성우 신경정신과의원	주말	2010-06-26	12시~13시까지	287288	544299	인천광역시 부평구 부평1동	흐림	261	195	54	21	24	273	204	60	30	33
3604	A지점 : 부평 문화의 거리 입구(방성우 신경정신과의원	주말	2010-06-26	19시~20시까지	287288	544299	인천광역시 부평구 부평1동	흐림	252	161	50	42	42	287	195	99	96	51
3710	부평 지하상가 특07호 앞	주중	2010-07-01	12시~13시까지	287352	543993	인천광역시 부평구 부평1동	흐림	275	323	228	76	48	284	334	236	79	49
3710	부평 지하상가 특07호 앞	주중	2010-07-01	19시~20시까지	287352	543993	인천광역시 부평구 부평1동	흐림	280	319	205	85	45	295	325	212	70	52
3710	부평 지하상가 특07호 앞	주말	2010-07-03	12시~13시까지	287352	543993	인천광역시 부평구 부평1동	흐림	825	969	684	228	144	852	1002	708	237	147
3710	부평 지하상가 특07호 앞	주말	2010-07-03	19시~20시까지	287352	543993	인천광역시 부평구 부평1동	흐림	667	958	615	195	135	701	975	636	210	156
3716	B지점 : 스타벅스 앞(진선미예식장 건너)	주중	2010-06-08	12시~13시까지	287480	544217	인천광역시 부평구 부평5동	맑음	72	57	36	63	66	99	96	114	147	82
3716	B지점 : 스타벅스 앞(진선미예식장 건너)	주중	2010-06-08	19시~20시까지	287480	544217	인천광역시 부평구 부평5동	맑음	135	115	84	125	85	236	256	199	235	151
3716	B지점 : 스타벅스 앞(진선미예식장 건너)	주말	2010-06-26	12시~13시까지	287480	544217	인천광역시 부평구 부평5동	맑음	261	195	54	21	24	273	204	60	30	33
3716	B지점 : 스타벅스 앞(진선미예식장 건너)	주말	2010-06-26	19시~20시까지	287480	544217	인천광역시 부평구 부평5동	맑음	252	161	50	42	42	287	195	99	96	51
3743	A지점 : 부평지하상가 중심 R지점 (G동21호 점포)	주중	2010-06-29	12시~13시까지	287278	544052	인천광역시 부평구 부평1동	흐림	185	227	161	58	33	179	254	185	61	42
3743	A지점 : 부평지하상가 중심 R지점 (G동21호 점포)	주중	2010-06-29	19시~20시까지	287278	544052	인천광역시 부평구 부평1동	흐림	202	238	168	56	35	230	270	190	64	40
3743	A지점 : 부평지하상가 중심 R지점 (G동21호 점포)	주말	2010-06-26	12시~13시까지	287278	544052	인천광역시 부평구 부평1동	흐림	655	681	483	174	99	637	762	564	183	126
3743	A지점 : 부평지하상가 중심 R지점 (G동21호 점포)	주말	2010-06-26	19시~20시까지	287278	544052	인천광역시 부평구 부평1동	흐림	606	714	504	168	105	534	745	666	132	138
3747	B지점 : 종합아케이드 지점(28번~29번 출입구)	주중	2010-06-29	12시~13시까지	287262	544315	인천광역시 부평구 부평1동	흐림	198	265	201	70	45	211	287	219	71	39
3747	B지점 : 종합아케이드 지점(28번~29번 출입구)	주중	2010-06-29	19시~20시까지	287262	544315	인천광역시 부평구 부평1동	흐림	238	279	197	66	41	268	315	222	74	46
3747	B지점 : 종합아케이드 지점(28번~29번 출입구)	주말	2010-06-26	12시~13시까지	287262	544315	인천광역시 부평구 부평1동	비	594	795	603	210	135	633	861	657	213	117
3747	B지점 : 종합아케이드 지점(28번~29번 출입구)	주말	2010-06-26	19시~20시까지	287262	544315	인천광역시 부평구 부평1동	비	514	637	591	198	126	534	745	666	132	138
4378	A지점 : 국민은행 앞	주중	2010-06-09	12시~13시까지	283615	544421	인천광역시 서구 가좌2동	맑음	0	12	33	24	54	0	63	183	84	114
4378	A지점 : 국민은행 앞	주중	2010-06-09	19시~20시까지	283615	544421	인천광역시 서구 가좌2동	맑음	129	63	81	84	36	108	120	201	81	39
4378	A지점 : 국민은행 앞	주말	2010-06-19	12시~13시까지	283615	544421	인천광역시 서구 가좌2동	맑음	51	33	48	54	48	72	60	126	87	69
4378	A지점 : 국민은행 앞	주말	2010-06-19	19시~20시까지	283615	544421	인천광역시 서구 가좌2동	맑음	48	66	69	75	36	69	79	129	126	45
4671	A지점 : 기업은행 앞	주중	2010-06-22	12시~13시까지	282985	549917	인천광역시 서구 심곡동	맑음	0	15	51	60	18	0	54	138	129	87
4671	A지점 : 기업은행 앞	주중	2010-06-22	19시~20시까지	282985	549917	인천광역시 서구 심곡동	맑음	60	9	15	21	9	63	18	90	84	54
4671	A지점 : 기업은행 앞	주말	2010-06-26	12시~13시까지	282985	549917	인천광역시 서구 심곡동	맑음	48	45	54	60	18	45	63	87	72	39
4671	A지점 : 기업은행 앞	주말	2010-06-26	19시~20시까지	282985	549917	인천광역시 서구 심곡동	맑음	36	45	54	60	27	45	57	90	117	39
4672	B지점 : 서구보건소 입구	주중	2010-06-22	12시~13시까지	282975	549920	인천광역시 서구 심곡동	맑음	0	9	15	21	9	0	18	90	84	54
4672	B지점 : 서구보건소 입구	주중	2010-06-22	19시~20시까지	282975	549920	인천광역시 서구 심곡동	맑음	60	48	84	69	15	66	84	126	102	36
4672	B지점 : 서구보건소 입구	주말	2010-06-26	12시~13시까지	282975	549920	인천광역시 서구 심곡동	맑음	15	30	39	45	12	33	51	66	60	45
4672	B지점 : 서구보건소 입구	주말	2010-06-26	19시~20시까지	282975	549920	인천광역시 서구 심곡동	맑음	36	30	45	36	18	33	51	87	99	27
4697	A지점 : 서인천농협 앞	주중	2010-07-06	12시~13시까지	282987	552170	인천광역시 서구 검암동	맑음	0	21	36	42	12	0	39	63	48	45
4697	A지점 : 서인천농협 앞	주중	2010-07-06	19시~20시까지	282987	552170	인천광역시 서구 검암동	맑음	45	54	72	84	9	51	72	96	75	15
4697	A지점 : 서인천농협 앞	주말	2010-07-03	12시~13시까지	282987	552170	인천광역시 서구 검암동	맑음	99	39	45	51	12	123	57	87	63	27
4697	A지점 : 서인천농협 앞	주말	2010-07-03	19시~20시까지	282987	552170	인천광역시 서구 검암동	맑음	84	51	87	48	36	90	87	99	60	57
